Name,Email,Language Proficiency,Nationality,Country of Residence,City of Residence,Academic Level,Study Field,gpa,Financial Need,Accessibility Need,Counseling Need,Accommodation Need
Ali Hassan,ali.hassan@gmail.com,"Arabic, English",Palestinian,Qatar,Duhail,Undergraduate,Computer Science,3.5,Yes,Yes,No,Yes
Sara Mohamed,sara.mohamed@gmail.com,Arabic,Syrian,Qatar,Duhail,Undergraduate,Media,3.8,Yes,No,Yes,Yes
Amine Youssef,amine.youssef@gmail.com,"English, French",Syrian,Canada,Toronto,Graduate,Business,3.6,Yes,No,Yes,No
Mei Omar,mei.omer@gmail.com,"Arabic, English",Palestinian,Germany,Munich,Graduate,Chemistry,3.7,Yes,No,Yes,Yes
Nour Ibrahim,nour.ibrahim@gmail.com,"Arabic, English",Sudanese,England,London,Undergraduate,Medicine,3.8,Yes,No,No,Yes
Aisha Ahmed,aisha.ahmed@gmail.com,"Arabic, English",Sudanese,England,London,Undergraduate,Engineering,3.5,Yes,No,No,No
Khalid Moussa,khalid.moussa@gmail.com,"Arabic, English",Syrian,Turkey,Istanbul,Graduate,Law,3.4,Yes,No,Yes,Yes
Fatima Anouar,fatima.anouar@gmail.com,"Arabic, English",Syrian,Turkey,Istanbul,Undergraduate,Nursing,3.9,Yes,No,No,No
Adham Mohamd,adham.mohamd@gmail.com,"Arabic, English",Palestinian,Canada,Toronto,Undergraduate,Engineering,3.6,Yes,No,No,Yes
Ahmed Karim,ahmed.karim@gmail.com,"Arabic, English",Palestinian,Qatar,AlRayyan,Undergraduate,Politics,3.5,Yes,No,No,Yes
